#P_Diwale  	temp  	V_diwale_cc
17.8    300    	6.18976
22.9  	300  	6.07177
30.3  	300  	5.91995
38.  	300  	5.77499
42.9  	300  	5.69733
47.2  	300  	5.63231
36.3  	300  	5.8105
47.5  	300  	5.63833
56.3  	300  	5.51131
65.  	300  	5.39573
71.2  	300  	5.33011
76.7  	300  	5.2687
82.4  	300  	5.21272
88.9  	300  	5.14891
99.5  	300  	5.0574
115.  	300  	4.94483
124.  	300  	4.87259
28.1  	300  	5.94788
55.2  	300  	5.51456
78.4  	300  	5.26148
105.  	300  	5.01189
122.  	300  	4.8818
136.  	300  	4.78512
146.  	300  	4.72185
157.  	300  	4.65388
167.  	300  	4.61156
176.  	300  	4.55672
188.  	300  	4.48333
197.  	300  	4.44914
0.  	300  	6.750828
